"season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","census_phocid_header_notes","census_phocid_header_id"
"2014/15","2015-01-23","2015-01-23",1,TRUE,"","57"
"2014/15","2015-01-30","2015-01-30",1,TRUE,"","58"
"2014/15","2015-02-06","2015-02-06",1,TRUE,"","59"
"2014/15","2015-02-13","2015-02-13",1,TRUE,"","60"
"2014/15","2015-02-20","2015-02-20",1,TRUE,"","61"
"2014/15","2015-02-27","2015-02-27",1,TRUE,"","62"
"2015/16","2015-10-31","2015-10-31",1,TRUE,"","63"
"2015/16","2015-11-05","2015-11-05",1,TRUE,"","64"
"2015/16","2015-11-13","2015-11-13",1,TRUE,"","65"
"2015/16","2015-11-20","2015-11-20",1,TRUE,"","66"
"2015/16","2015-11-27","2015-11-27",1,TRUE,"","67"
"2015/16","2015-12-04","2015-12-04",1,TRUE,"","68"
"2015/16","2015-12-11","2015-12-11",1,TRUE,"","69"
"2015/16","2015-12-18","2015-12-18",1,TRUE,"","70"
"2015/16","2015-12-25","2015-12-25",1,TRUE,"","71"
"2015/16","2016-01-01","2016-01-01",1,TRUE,"","72"
"2015/16","2016-01-09","2016-01-09",1,TRUE,"","73"
"2015/16","2016-01-15","2016-01-15",1,TRUE,"","74"
"2015/16","2016-01-22","2016-01-22",1,TRUE,"","75"
"2015/16","2016-01-29","2016-01-29",1,TRUE,"","76"
"2015/16","2016-02-05","2016-02-05",1,TRUE,"","77"
"2015/16","2016-02-12","2016-02-12",1,TRUE,"","78"
"2015/16","2016-02-19","2016-02-19",1,TRUE,"","79"
"2015/16","2016-02-26","2016-02-26",1,TRUE,"","80"
"2015/16","2016-03-04","2016-03-04",1,TRUE,"","81"
"2015/16","2016-03-11","2016-03-11",1,TRUE,"","82"
"2016/17","2016-11-04","2016-11-04",1,TRUE,"","83"
"2016/17","2016-11-11","2016-11-11",1,TRUE,"","84"
"2016/17","2016-11-18","2016-11-18",1,TRUE,"","85"
"2016/17","2016-11-25","2016-11-25",1,TRUE,"","86"
"2016/17","2016-12-02","2016-12-02",1,TRUE,"","87"
"2016/17","2016-12-09","2016-12-09",1,TRUE,"","88"
"2016/17","2016-12-16","2016-12-16",1,TRUE,"","89"
"2016/17","2016-12-23","2016-12-23",1,TRUE,"","90"
"2016/17","2016-12-30","2016-12-30",1,TRUE,"","91"
"2016/17","2017-01-07","2017-01-07",1,TRUE,"","92"
"2016/17","2017-01-13","2017-01-13",1,TRUE,"","93"
"2016/17","2017-01-20","2017-01-20",1,TRUE,"","94"
"2016/17","2017-01-27","2017-01-27",1,TRUE,"","95"
"2016/17","2017-02-03","2017-02-03",1,TRUE,"","96"
"2016/17","2017-02-10","2017-02-10",1,TRUE,"","97"
"2016/17","2017-02-17","2017-02-18",2,TRUE,"","98"
"2016/17","2017-02-24","2017-02-24",1,TRUE,"","99"
"2016/17","2017-03-03","2017-03-03",1,TRUE,"","100"
"2016/17","2017-03-10","2017-03-10",1,TRUE,"","101"
"2017/18","2017-11-03","2017-11-03",1,TRUE,"","102"
"2017/18","2017-11-10","2017-11-10",1,TRUE,"","103"
"2017/18","2017-11-17","2017-11-17",1,TRUE,"","104"
"2017/18","2017-11-24","2017-11-24",1,TRUE,"","105"
"2017/18","2017-12-01","2017-12-01",1,TRUE,"","106"
"2017/18","2017-12-09","2017-12-09",1,TRUE,"","107"
"2017/18","2017-12-15","2017-12-15",1,TRUE,"","108"
"2017/18","2017-12-22","2017-12-22",1,TRUE,"","109"
"2017/18","2017-12-29","2017-12-30",2,TRUE,"","110"
