count_id,event_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
15-2-344008,15,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
15-2-231413,15,Punta San Telmo,Mirounga leonina,Southern elephant seal,21,2,2,0,0,8,7,2,,,0
15-2-231417,15,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
15-2-195932,15,Punta San Telmo,Leptonychotes weddellii,Weddell seal,12,5,5,0,1,0,0,1,,,
16-1-344008,16,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
16-1-231413,16,Core census locations,Mirounga leonina,Southern elephant seal,116,10,5,0,4,79,4,14,,,0
16-1-231417,16,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
16-1-195932,16,Core census locations,Leptonychotes weddellii,Weddell seal,25,7,10,0,0,7,0,1,,,
16-2-344008,16,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
16-2-231413,16,Punta San Telmo,Mirounga leonina,Southern elephant seal,38,2,2,0,2,25,5,2,,,0
16-2-231417,16,Punta San Telmo,Hydrurga leptonyx,Leopard seal,1,0,0,0,0,1,0,0,,,
16-2-195932,16,Punta San Telmo,Leptonychotes weddellii,Weddell seal,13,5,5,0,2,1,0,0,,,
17-1-344008,17,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
17-1-231413,17,Core census locations,Mirounga leonina,Southern elephant seal,149,6,6,0,16,62,39,18,,,2
17-1-231417,17,Core census locations,Hydrurga leptonyx,Leopard seal,1,0,0,0,0,1,0,0,,,
17-1-195932,17,Core census locations,Leptonychotes weddellii,Weddell seal,36,11,13,3,1,2,1,5,,,
17-2-344008,17,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
17-2-231413,17,Punta San Telmo,Mirounga leonina,Southern elephant seal,26,0,6,0,2,12,0,0,,,6
17-2-231417,17,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
17-2-195932,17,Punta San Telmo,Leptonychotes weddellii,Weddell seal,11,2,3,3,0,2,1,0,,,
18-1-344008,18,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
18-1-231413,18,Core census locations,Mirounga leonina,Southern elephant seal,186,13,6,0,24,83,52,8,,,0
