"header_id","season_name","week","census_date","location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_male_count","pup_female_count","pup_unk_count","unk_unk_count","notes","research_program"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Weddell seal",3,0,NA,1,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Elephant seal",0,2,NA,1,1,NA,0,0,NA,4,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Weddell seal",1,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Elephant seal",2,0,NA,8,0,NA,0,0,NA,7,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Canal, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Canal, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,1,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Canal, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Canal, Playa","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Lobero, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Lobero, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"del Lobero, Playa","Weddell seal",0,0,NA,1,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Modulo","Elephant seal",0,0,NA,3,1,NA,0,0,NA,1,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Larga","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Larga","Elephant seal",0,0,NA,0,2,NA,1,0,NA,2,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Larga","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Larga","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Maderas","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Maderas","Elephant seal",0,0,NA,0,0,NA,0,1,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Maderas","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Maderas","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Marko","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Marko","Elephant seal",0,0,NA,3,0,NA,0,1,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Marko","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Marko","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Media Luna","Crabeater seal",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Media Luna","Elephant seal",5,2,NA,172,17,NA,8,4,NA,16,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Media Luna","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Media Luna","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Modulo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Modulo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Modulo","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Nibaldo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Nibaldo","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Nibaldo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Nibaldo","Weddell seal",0,0,NA,1,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Papua","Elephant seal",0,1,NA,0,0,NA,0,0,NA,4,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Papua","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Paulina, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Paulina, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,1,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Paulina, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Paulina, Playa","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Roquerio","Elephant seal",0,0,NA,1,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Roquerio","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Schiappacasse, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Schiappacasse, Playa","Elephant seal",0,0,NA,1,1,NA,0,0,NA,1,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Schiappacasse, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Schiappacasse, Playa","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Aranda","Elephant seal",0,7,NA,0,0,NA,9,0,NA,3,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Aranda","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Bahamonde","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Bahamonde","Elephant seal",1,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Bahamonde","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Bahamonde","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Ballena Norte","Elephant seal",7,0,NA,0,0,NA,0,0,NA,2,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Ballena Norte","Weddell seal",0,0,NA,1,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Chungungo","Elephant seal",0,4,NA,5,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Chungungo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Chungungo","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"del Canal, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"del Canal, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"del Canal, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"del Canal, Playa","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Modulo","Elephant seal",0,0,NA,1,2,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Larga","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
