"header_id","season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","header_notes","research_program","species","location","time_start","time_end","total_count","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record"
"1998/99-07","1998/99",1999-01-21,1999-01-21,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,13,5,6,0,0,2,0,0,0,0,0,0,NA,TRUE
"1998/99-08","1998/99",1999-01-28,1999-01-28,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-08","1998/99",1999-01-28,1999-01-28,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,327,6,5,0,55,5,0,1,0,0,0,255,"pups: 0 females, 1 males, 0 unknowns",TRUE
"1998/99-08","1998/99",1999-01-28,1999-01-28,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-08","1998/99",1999-01-28,1999-01-28,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,10,2,2,0,3,3,0,0,0,0,0,0,NA,TRUE
"1998/99-09","1998/99",1999-02-04,1999-02-04,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-09","1998/99",1999-02-04,1999-02-04,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,315,7,5,0,64,6,0,3,0,0,0,230,"pups: 1 females, 2 males, 0 unknowns",TRUE
"1998/99-09","1998/99",1999-02-04,1999-02-04,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,2,0,0,2,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-09","1998/99",1999-02-04,1999-02-04,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,27,10,9,0,3,4,0,1,0,0,0,0,"pups: 1 females, 0 males, NA unknowns",TRUE
"1998/99-10","1998/99",1999-02-11,1999-02-11,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-10","1998/99",1999-02-11,1999-02-11,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,200,8,4,0,20,6,0,0,0,0,0,162,NA,TRUE
"1998/99-10","1998/99",1999-02-11,1999-02-11,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-10","1998/99",1999-02-11,1999-02-11,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,6,2,2,0,1,1,0,0,0,0,0,0,NA,TRUE
"1998/99-11","1998/99",1999-02-18,1999-02-18,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-11","1998/99",1999-02-18,1999-02-18,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,124,3,2,0,37,1,0,5,0,0,0,76,"pups: 1 females, 0 males, 0 unknowns; pups: 1 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
"1998/99-11","1998/99",1999-02-18,1999-02-18,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,2,1,0,1,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-11","1998/99",1999-02-18,1999-02-18,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,10,4,4,0,1,1,0,0,0,0,0,0,NA,TRUE
"1999/00-01","1999/00",1999-12-06,1999-12-06,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-01","1999/00",1999-12-06,1999-12-06,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,239,1,5,0,25,70,0,30,0,0,0,108,"pups: 1 females, 0 males, 0 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 4 females, 8 males, 1 unknowns; pups: 1 females, 1 males, 0 unknowns; pups: 3 females, 8 males, 1 unknowns",TRUE
"1999/00-01","1999/00",1999-12-06,1999-12-06,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-01","1999/00",1999-12-06,1999-12-06,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,16,4,5,0,3,4,0,0,0,0,0,0,NA,TRUE
"1999/00-02","1999/00",1999-12-13,1999-12-13,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-02","1999/00",1999-12-13,1999-12-13,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,278,6,3,0,31,69,0,32,0,0,0,137,"pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 3 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 7 females, 7 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 3 males, 0 unknowns; pups: 4 females, 1 males, 0 unknowns; pups: 1 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns",TRUE
"1999/00-02","1999/00",1999-12-13,1999-12-13,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-02","1999/00",1999-12-13,1999-12-13,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,19,2,5,0,5,5,0,2,0,0,0,0,"pups: 1 females, 0 males, NA unknowns; pups: 0 females, 1 males, NA unknowns",TRUE
"1999/00-03","1999/00",1999-12-20,1999-12-20,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-03","1999/00",1999-12-20,1999-12-20,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,253,3,1,0,32,70,0,15,0,0,0,132,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 1 unknowns; pups: 2 females, 6 males, 1 unknowns; pups: 1 females, 2 males, 0 unknowns",TRUE
"1999/00-03","1999/00",1999-12-20,1999-12-20,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-03","1999/00",1999-12-20,1999-12-20,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,13,4,3,0,2,4,0,0,0,0,0,0,NA,TRUE
"1999/00-04","1999/00",1999-12-27,1999-12-27,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
