"season_name","census_date","time_start","time_end","location","species","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record","header_id","total_count","total_count_nodead"
"1997/98",1997-12-24,,,"del Canal, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"del Canal, Playa","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"El Plastico, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"El Plastico, Playa","Elephant seal",1,0,,0,0,,0,,,,1,,,"1997/98-03",2,
"1997/98",1997-12-24,,,"El Plastico, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"El Plastico, Playa","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Larga","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Larga","Elephant seal",0,0,,4,40,,3,,,,1,"pups: 2 females; 1 males; NA unknowns",,"1997/98-03",48,
"1997/98",1997-12-24,,,"Larga","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Larga","Weddell seal",2,1,,0,0,,0,,,,,,,"1997/98-03",3,
"1997/98",1997-12-24,,,"Marko","Crabeater seal",0,1,,,,,,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Marko","Elephant seal",0,0,,3,4,,2,,,,0,"pups: 2 females; 0 males; NA unknowns",,"1997/98-03",9,
"1997/98",1997-12-24,,,"Marko","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Marko","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Media Luna","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Media Luna","Elephant seal",3,0,,22,105,,9,,,,30,"pups: 5 females; 4 males; NA unknowns",,"1997/98-03",169,
"1997/98",1997-12-24,,,"Media Luna","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Media Luna","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-03",1,
