header_id,season_name,species,location,time_start,time_end,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_live_count,pup_dead_count,unk_female_count,unk_male_count,unk_unk_count,census_notes,orig_record
1/13/2000,2000/01,Weddell seal,Cape Shirreff core locations,,,2,0,1,0,1,0,0,0,0,0,0,0,,TRUE
2/1/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/1/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,284,0,0,0,12,65,0,58,0,0,0,149,"pups: 0 females, 8 males, 10 unknowns; pups: 1 females, 5 males, 2 unknowns; pups: 8 females, 6 males, 16 unknowns; pups: 2 females, 0 males, 0 unknowns",TRUE
2/1/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/1/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,12,1,5,0,2,3,0,1,0,0,0,0,"pups: 1 females, 0 males, NA unknowns",TRUE
2/2/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/2/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,288,0,0,0,11,52,0,56,0,0,0,169,"pups: 4 females, 2 males, 6 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 5 females, 6 males, 2 unknowns; pups: 14 females, 7 males, 7 unknowns; pups: 0 females, 0 males, 2 unknowns",TRUE
2/2/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,1,0,0,1,0,0,0,0,0,0,0,0,,TRUE
2/2/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,17,0,4,0,6,5,0,2,0,0,0,0,"pups: 1 females, 0 males, NA unknowns; pups: 1 females, 0 males, NA unknowns",TRUE
2/3/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/3/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,235,1,0,0,26,36,0,13,0,0,0,159,"pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 4 unknowns; pups: 1 females, 3 males, 2 unknowns; pups: 0 females, 0 males, 2 unknowns",TRUE
2/3/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/3/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,22,3,0,0,7,8,0,4,0,0,0,0,"pups: 1 females, 1 males, NA unknowns; pups: 1 females, 0 males, NA unknowns; pups: 1 females, 0 males, NA unknowns",TRUE
2/4/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/4/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,253,3,2,0,34,57,0,8,0,0,0,149,"pups: 0 females, 1 males, 0 unknowns; pups: 2 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 0 unknowns",TRUE
2/4/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,2,1,0,1,0,0,0,0,0,0,0,0,,TRUE
2/4/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,23,1,5,0,7,10,0,0,0,0,0,0,,TRUE
2/5/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/5/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,311,1,0,0,28,34,0,3,0,0,0,245,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 2 unknowns",TRUE
2/5/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,3,3,0,0,0,0,0,0,0,0,0,0,,TRUE
2/5/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,28,9,4,0,6,8,0,1,0,0,0,0,"pups: 0 females, 1 males, NA unknowns",TRUE
2/6/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/6/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,284,7,0,0,73,56,0,1,0,0,0,147,"pups: 0 females, 0 males, 1 unknowns",TRUE
2/6/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,2,1,0,1,0,0,0,0,0,0,0,0,,TRUE
2/6/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,25,5,1,0,11,8,0,0,0,0,0,0,,TRUE
2/7/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,2,0,2,0,0,0,0,0,0,0,0,0,,TRUE
2/7/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,295,4,3,0,100,23,0,6,0,0,0,159,"pups: 0 females, 1 males, 0 unknowns; pups: 1 females, 1 males, 1 unknowns; pups: 0 females, 0 males, 2 unknowns",TRUE
2/7/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,5,3,0,2,0,0,0,0,0,0,0,0,,TRUE
2/7/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,30,6,5,0,10,9,0,0,0,0,0,0,,TRUE
2/8/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/8/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,337,2,0,0,88,30,0,0,0,0,0,217,,TRUE
2/8/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,7,5,0,2,0,0,0,0,0,0,0,0,,TRUE
2/8/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,52,6,4,0,20,22,0,0,0,0,0,0,,TRUE
2/9/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
2/9/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,251,6,0,0,72,16,0,0,0,0,0,157,,TRUE
2/9/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,2,2,0,0,0,0,0,0,0,0,0,0,,TRUE
2/9/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,37,6,3,0,13,15,0,0,0,0,0,0,,TRUE
2/10/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,2,1,1,0,0,0,0,0,0,0,0,0,,TRUE
2/10/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,169,0,2,0,77,5,0,1,0,0,0,84,"pups: 0 females, 0 males, 1 unknowns",TRUE
2/10/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,5,3,0,2,0,0,0,0,0,0,0,0,,TRUE
2/10/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,30,7,8,0,9,6,0,0,0,0,0,0,,TRUE
2/11/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,1,0,1,0,0,0,0,0,0,0,0,0,,TRUE
2/11/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,96,7,4,0,50,2,0,3,0,0,0,30,"pups: 0 females, 0 males, 1 unknowns; pups: 2 females, 0 males, 0 unknowns",TRUE
2/11/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,4,4,0,0,0,0,0,0,0,0,0,0,,TRUE
2/11/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,17,1,2,0,6,8,0,0,0,0,0,0,,TRUE
2/12/2001,2001/02,Crabeater seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
2/12/2001,2001/02,Elephant seal,Cape Shirreff core locations,,,56,3,6,0,24,5,0,3,0,0,0,15,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 0 unknowns",TRUE
2/12/2001,2001/02,Leopard seal,Cape Shirreff core locations,,,2,0,0,2,0,0,0,0,0,0,0,0,,TRUE
2/12/2001,2001/02,Weddell seal,Cape Shirreff core locations,,,30,6,4,0,5,15,0,0,0,0,0,0,,TRUE
3/1/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/1/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,23,4,3,0,1,0,0,8,0,0,0,7,"pups: 3 females, 2 males, 3 unknowns",TRUE
3/1/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
