"header_id","season_name","census_date","location","location_group","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_live_count","unk_unk_count","notes","research_program"
"1997/98-02","1997/98",1997-12-18,"Marko","Marko","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Marko","Marko","Elephant seal",0,0,NA,3,0,NA,1,0,"pups: 1 females, 0 males, NA unknowns","INACH"
"1997/98-02","1997/98",1997-12-18,"Marko","Marko","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Marko","Marko","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Media Luna","Media Luna","Crabeater seal",1,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Media Luna","Media Luna","Elephant seal",5,2,NA,172,17,NA,12,16,"pups: 4 females, 8 males, NA unknowns","INACH"
"1997/98-02","1997/98",1997-12-18,"Media Luna","Media Luna","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Media Luna","Media Luna","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Modulo","Modulo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Modulo","Modulo","Elephant seal",0,0,NA,3,1,NA,0,1,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Modulo","Modulo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Modulo","Modulo","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Nibaldo","Nibaldo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Nibaldo","Nibaldo","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Nibaldo","Nibaldo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Nibaldo","Nibaldo","Weddell seal",0,0,NA,1,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Papua","Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Papua","Papua","Elephant seal",0,1,NA,0,0,NA,0,4,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Papua","Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Papua","Papua","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Paulina, Playa","Paulina, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Paulina, Playa","Paulina, Playa","Elephant seal",0,0,NA,0,0,NA,0,1,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Paulina, Playa","Paulina, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Paulina, Playa","Paulina, Playa","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Roquerio","Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Roquerio","Roquerio","Elephant seal",0,0,NA,1,0,NA,0,0,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Roquerio","Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Roquerio","Roquerio","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Schiappacasse, Playa","Schiappacasse, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Schiappacasse, Playa","Schiappacasse, Playa","Elephant seal",0,0,NA,1,1,NA,0,1,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Schiappacasse, Playa","Schiappacasse, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Schiappacasse, Playa","Schiappacasse, Playa","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Canal, Playa","del Canal, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Canal, Playa","del Canal, Playa","Elephant seal",0,0,NA,0,0,NA,0,1,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Canal, Playa","del Canal, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
